Grade,Education Level,Math Topic,Sub_topic_1,Sub_topic_2,Sub_topic_3,Sub_topic_4,Sub_topic_5
3,Elementary,Measurement of volume,3:Elementary:Measurement of volume: Measuring volume using cubic units,3:Elementary:Measurement of volume: Comparing volumes,3:Elementary:Measurement of volume: Solving volume-related problems,3:Elementary:Measurement of volume: Understanding the relationship between volume and capacity,3:Elementary:Measurement of volume: Estimating volume
3,Elementary,Representing data,3:Elementary:Representing data: Collecting and organizing data,3:Elementary:Representing data: Creating and interpreting bar graphs,3:Elementary:Representing data: Creating and interpreting line plots,3:Elementary:Representing data: Creating and interpreting pictographs,3:Elementary:Representing data: Analyzing data trends
3,Elementary,Analyzing data,3:Elementary:Analyzing data: Organizing and displaying data,3:Elementary:Analyzing data: Describing and comparing data sets,3:Elementary:Analyzing data: Making predictions based on data,3:Elementary:Analyzing data: Solving problems with data,3:Elementary:Analyzing data: Drawing conclusions based on data
4,Elementary,Multiplication of multi-digit numbers,4:Elementary:Multiplication of multi-digit numbers: Multiplication without regrouping,4:Elementary:Multiplication of multi-digit numbers: Multiplication with regrouping,4:Elementary:Multiplication of multi-digit numbers: Word problems with multiplication,4:Elementary:Multiplication of multi-digit numbers: Solving multiplication equations,4:Elementary:Multiplication of multi-digit numbers: Estimating products
4,Elementary,Division of multi-digit numbers,4:Elementary:Division of multi-digit numbers: Division without remainder,4:Elementary:Division of multi-digit numbers: Division with remainder,4:Elementary:Division of multi-digit numbers: Division word problems,4:Elementary:Division of multi-digit numbers: Solving division equations,4:Elementary:Division of multi-digit numbers: Estimating quotients
4,Elementary,"Fraction operations (addition, subtraction)","4:Elementary:Fraction operations (addition, subtraction): Adding fractions with like denominators","4:Elementary:Fraction operations (addition, subtraction): Adding fractions with unlike denominators","4:Elementary:Fraction operations (addition, subtraction): Subtracting fractions","4:Elementary:Fraction operations (addition, subtraction): Solving fraction equations","4:Elementary:Fraction operations (addition, subtraction): Solving problems with fraction operations"
4,Elementary,"Fraction operations (multiplication, division)","4:Elementary:Fraction operations (multiplication, division): Multiplying fractions by whole numbers","4:Elementary:Fraction operations (multiplication, division): Multiplying fractions by fractions","4:Elementary:Fraction operations (multiplication, division): Dividing fractions","4:Elementary:Fraction operations (multiplication, division): Solving fraction equations","4:Elementary:Fraction operations (multiplication, division): Solving problems with fraction operations"
4,Elementary,Decimal concepts and operations,4:Elementary:Decimal concepts and operations: Understanding place value of decimals,4:Elementary:Decimal concepts and operations: Adding and subtracting decimals,4:Elementary:Decimal concepts and operations: Multiplying and dividing decimals,4:Elementary:Decimal concepts and operations: Rounding decimals,4:Elementary:Decimal concepts and operations: Solving problems with decimals
4,Elementary,"Lines, angles, geometric transformations","4:Elementary:Lines, angles, geometric transformations: Identifying lines and line segments","4:Elementary:Lines, angles, geometric transformations: Classifying angles","4:Elementary:Lines, angles, geometric transformations: Identifying geometric transformations","4:Elementary:Lines, angles, geometric transformations: Describing and comparing 2D shapes","4:Elementary:Lines, angles, geometric transformations: Solving problems with lines, angles, and shapes"
4,Elementary,Measurement conversions and problem-solving,"4:Elementary:Measurement conversions and problem-solving: Converting units of length, weight, time",4:Elementary:Measurement conversions and problem-solving: Converting units of capacity and volume,4:Elementary:Measurement conversions and problem-solving: Solving measurement word problems,4:Elementary:Measurement conversions and problem-solving: Using measurement tools,4:Elementary:Measurement conversions and problem-solving: Solving real-life measurement problems
4,Elementary,Introduction to algebraic thinking,4:Elementary:Introduction to algebraic thinking: Understanding variables and expressions,4:Elementary:Introduction to algebraic thinking: Evaluating and simplifying expressions,4:Elementary:Introduction to algebraic thinking: Solving one-step equations,4:Elementary:Introduction to algebraic thinking: Solving two-step equations,4:Elementary:Introduction to algebraic thinking: Solving word problems using algebraic thinking
4,Elementary,Data analysis and statistics,4:Elementary:Data analysis and statistics: Collecting and organizing data,4:Elementary:Data analysis and statistics: Representing data using graphs and charts,4:Elementary:Data analysis and statistics: Analyzing and interpreting data,4:Elementary:Data analysis and statistics: Solving problems with data and statistics,4:Elementary:Data analysis and statistics: Making predictions and drawing conclusions from data
5,Elementary,Operations with decimals of addition,5:Elementary:Operations with decimals of addition: Adding decimals,5:Elementary:Operations with decimals of addition: Estimating and rounding decimals,5:Elementary:Operations with decimals of addition: Solving addition word problems,5:Elementary:Operations with decimals of addition: Applying addition properties,5:Elementary:Operations with decimals of addition: Estimating sums
5,Elementary,Operations with decimals of subtraction,5:Elementary:Operations with decimals of subtraction: Subtracting decimals,5:Elementary:Operations with decimals of subtraction: Estimating and rounding decimals,5:Elementary:Operations with decimals of subtraction: Solving subtraction word problems,5:Elementary:Operations with decimals of subtraction: Applying subtraction properties,5:Elementary:Operations with decimals of subtraction: Estimating differences
5,Elementary,Operations with decimals of multiplication,5:Elementary:Operations with decimals of multiplication: Multiplying decimals,5:Elementary:Operations with decimals of multiplication: Estimating and rounding decimals,5:Elementary:Operations with decimals of multiplication: Solving multiplication word problems,5:Elementary:Operations with decimals of multiplication: Applying multiplication properties,5:Elementary:Operations with decimals of multiplication: Estimating products
5,Elementary,Operations with decimals of division,5:Elementary:Operations with decimals of division: Dividing decimals,5:Elementary:Operations with decimals of division: Estimating and rounding decimals,5:Elementary:Operations with decimals of division: Solving division word problems,5:Elementary:Operations with decimals of division: Applying division properties,5:Elementary:Operations with decimals of division: Estimating quotients
5,Elementary,"Fraction operations (division, mixed numbers)","5:Elementary:Fraction operations (division, mixed numbers): Dividing fractions","5:Elementary:Fraction operations (division, mixed numbers): Multiplying and dividing mixed numbers","5:Elementary:Fraction operations (division, mixed numbers): Solving fraction division word problems","5:Elementary:Fraction operations (division, mixed numbers): Solving problems with mixed numbers and fractions","5:Elementary:Fraction operations (division, mixed numbers): Estimating quotients and solving mixed number problems"
5,Elementary,Place value with decimals,5:Elementary:Place value with decimals: Understanding decimal place value,5:Elementary:Place value with decimals: Comparing and ordering decimals,5:Elementary:Place value with decimals: Rounding decimals,5:Elementary:Place value with decimals: Using decimals in real-life situations,5:Elementary:Place value with decimals: Estimating and rounding decimals
5,Elementary,2D shapes recognition,5:Elementary:2D shapes recognition: Classifying polygons and quadrilaterals,5:Elementary:2D shapes recognition: Identifying lines of symmetry,5:Elementary:2D shapes recognition: Describing and comparing 2D shapes,5:Elementary:2D shapes recognition: Drawing and constructing 2D shapes,5:Elementary:2D shapes recognition: Identifying congruent shapes
5,Elementary,3D shapes recognition,5:Elementary:3D shapes recognition: Classifying and identifying 3D shapes,5:Elementary:3D shapes recognition: Describing attributes and properties of 3D shapes,5:Elementary:3D shapes recognition: Drawing and constructing 3D shapes,5:Elementary:3D shapes recognition: Understanding nets and surface area,5:Elementary:3D shapes recognition: Identifying congruent 3D shapes
5,Elementary,Volume of rectangular prisms and capacity,5:Elementary:Volume of rectangular prisms and capacity: Finding volume of rectangular prisms,5:Elementary:Volume of rectangular prisms and capacity: Finding capacity of containers,5:Elementary:Volume of rectangular prisms and capacity: Solving volume and capacity problems,5:Elementary:Volume of rectangular prisms and capacity: Comparing volumes,5:Elementary:Volume of rectangular prisms and capacity: Estimating volume
5,Elementary,Coordinate plane and graphing,5:Elementary:Coordinate plane and graphing: Understanding the coordinate plane,5:Elementary:Coordinate plane and graphing: Graphing points and shapes,5:Elementary:Coordinate plane and graphing: Describing and analyzing patterns,5:Elementary:Coordinate plane and graphing: Solving problems using the coordinate plane,5:Elementary:Coordinate plane and graphing: Interpreting and analyzing data from the coordinate plane
5,Elementary,"Data analysis, statistics, and probability","5:Elementary:Data analysis, statistics, and probability: Organizing and representing data","5:Elementary:Data analysis, statistics, and probability: Analyzing and interpreting data","5:Elementary:Data analysis, statistics, and probability: Calculating measures of central tendency","5:Elementary:Data analysis, statistics, and probability: Solving probability problems","5:Elementary:Data analysis, statistics, and probability: Making predictions and drawing conclusions from data"
5,Elementary,Introduction to algebraic equations and variables,5:Elementary:Introduction to algebraic equations and variables: Understanding variables and expressions,5:Elementary:Introduction to algebraic equations and variables: Evaluating and simplifying algebraic expressions,5:Elementary:Introduction to algebraic equations and variables: Solving one-step equations,5:Elementary:Introduction to algebraic equations and variables: Solving two-step equations,5:Elementary:Introduction to algebraic equations and variables: Solving word problems using algebraic equations
6,Middle School,Ratios relationships,6:Middle School:Ratios relationships: Understanding ratios,6:Middle School:Ratios relationships: Equivalent ratios,6:Middle School:Ratios relationships: Comparing ratios,6:Middle School:Ratios relationships: Solving ratio problems,6:Middle School:Ratios relationships: Applying ratios in real-life situations
6,Middle School,Proportional relationships,6:Middle School:Proportional relationships: Identifying proportional relationships,6:Middle School:Proportional relationships: Representing proportional relationships graphically,6:Middle School:Proportional relationships: Solving proportion problems,6:Middle School:Proportional relationships: Understanding constant of proportionality,6:Middle School:Proportional relationships: Applying proportional reasoning
6,Middle School,Division of fractions,6:Middle School:Division of fractions: Dividing fractions,6:Middle School:Division of fractions: Solving division problems with fractions,6:Middle School:Division of fractions: Simplifying complex fraction expressions,6:Middle School:Division of fractions: Solving word problems with fraction division,6:Middle School:Division of fractions: Applying division of fractions in real-life situations
6,Middle School,Division of decimals,6:Middle School:Division of decimals: Dividing decimals,6:Middle School:Division of decimals: Solving division problems with decimals,6:Middle School:Division of decimals: Estimating and rounding quotients,6:Middle School:Division of decimals: Solving word problems with decimal division,6:Middle School:Division of decimals: Applying division of decimals in real-life situations
6,Middle School,Integers,6:Middle School:Integers: Understanding positive and negative integers,6:Middle School:Integers: Comparing and ordering integers,6:Middle School:Integers: Adding and subtracting integers,6:Middle School:Integers: Multiplying and dividing integers,6:Middle School:Integers: Solving word problems with integers
6,Middle School,Coordinate planes and the Cartesian system,6:Middle School:Coordinate planes and the Cartesian system: Understanding the Cartesian coordinate system,6:Middle School:Coordinate planes and the Cartesian system: Graphing points and shapes on the coordinate plane,6:Middle School:Coordinate planes and the Cartesian system: Describing and analyzing patterns on grids,6:Middle School:Coordinate planes and the Cartesian system: Determining distances on the coordinate plane,6:Middle School:Coordinate planes and the Cartesian system: Solving problems using the coordinate plane
6,Middle School,Expressions and equations,6:Middle School:Expressions and equations: Evaluating algebraic expressions,6:Middle School:Expressions and equations: Simplifying algebraic expressions,6:Middle School:Expressions and equations: Solving one-step equations,6:Middle School:Expressions and equations: Solving multi-step equations,6:Middle School:Expressions and equations: Solving word problems with algebraic expressions
6,Middle School,Area,6:Middle School:Area: Finding the area of rectangles,6:Middle School:Area: Finding the area of parallelograms and triangles,6:Middle School:Area: Finding the area of composite figures,6:Middle School:Area: Solving word problems involving area,6:Middle School:Area: Applying area concepts in real-life situations
6,Middle School,Surface area,6:Middle School:Surface area: Finding the surface area of prisms,6:Middle School:Surface area: Finding the surface area of cylinders,6:Middle School:Surface area: Finding the surface area of composite figures,6:Middle School:Surface area: Solving word problems involving surface area,6:Middle School:Surface area: Applying surface area concepts in real-life situations
6,Middle School,Volume,6:Middle School:Volume: Finding the volume of prisms,6:Middle School:Volume: Finding the volume of cylinders,6:Middle School:Volume: Finding the volume of composite figures,6:Middle School:Volume: Solving word problems involving volume,6:Middle School:Volume: Applying volume concepts in real-life situations
6,Middle School,Statistical measures and data analysis,6:Middle School:Statistical measures and data analysis: Collecting and organizing data,6:Middle School:Statistical measures and data analysis: Representing data using graphs and charts,6:Middle School:Statistical measures and data analysis: Analyzing and interpreting data,6:Middle School:Statistical measures and data analysis: Calculating measures of central tendency and spread,6:Middle School:Statistical measures and data analysis: Making predictions and drawing conclusions from data
6,Middle School,Probability,6:Middle School:Probability: Understanding probability concepts,6:Middle School:Probability: Calculating probabilities,6:Middle School:Probability: Solving probability problems,6:Middle School:Probability: Understanding experimental and theoretical probability,6:Middle School:Probability: Applying probability concepts in real-life situations
7,Middle School,Ratios,7:Middle School:Ratios: Understanding ratios and their applications,7:Middle School:Ratios: Solving problems involving ratios and rates,7:Middle School:Ratios: Finding equivalent ratios,7:Middle School:Ratios: Applying proportional relationships,7:Middle School:Ratios: Analyzing and interpreting data in context
7,Middle School,Rates,7:Middle School:Rates: Understanding rates and their applications,7:Middle School:Rates: Solving problems involving ratios and rates,7:Middle School:Rates: Converting rates and unit rates,7:Middle School:Rates: Applying rates and ratios in real-life situations,7:Middle School:Rates: Analyzing and interpreting data in context
7,Middle School,Percentages,7:Middle School:Percentages: Understanding percentages and their applications,7:Middle School:Percentages: Solving problems involving percentages,7:Middle School:Percentages: Finding percentages of quantities,7:Middle School:Percentages: Applying percentages in real-life situations,7:Middle School:Percentages: Analyzing and interpreting data in context
7,Middle School,Proportional relationships,7:Middle School:Proportional relationships: Understanding proportional relationships,7:Middle School:Proportional relationships: Solving problems involving scale factors,7:Middle School:Proportional relationships: Determining constant of proportionality,7:Middle School:Proportional relationships: Applying scale factors and proportional reasoning,7:Middle School:Proportional relationships: Analyzing and interpreting data in context
7,Middle School,Rational numbers and rational operations,7:Middle School:Rational numbers and rational operations: Understanding rational numbers and their operations,7:Middle School:Rational numbers and rational operations: Comparing and ordering rational numbers,"7:Middle School:Rational numbers and rational operations: Adding, subtracting, multiplying, and dividing fractions",7:Middle School:Rational numbers and rational operations: Solving problems with rational numbers,7:Middle School:Rational numbers and rational operations: Analyzing and interpreting data in context
7,Middle School,Algebraic expressions and equations,7:Middle School:Algebraic expressions and equations: Evaluating and simplifying algebraic expressions,7:Middle School:Algebraic expressions and equations: Solving one-step and multi-step equations,"7:Middle School:Algebraic expressions and equations: Writing, solving, and graphing linear equations",7:Middle School:Algebraic expressions and equations: Interpreting and applying algebraic expressions,7:Middle School:Algebraic expressions and equations: Analyzing and interpreting data in context
7,Middle School,Angles,7:Middle School:Angles: Understanding angles and their properties,7:Middle School:Angles: Measuring and classifying angles,7:Middle School:Angles: Relationships between angles,7:Middle School:Angles: Solving problems involving angles,7:Middle School:Angles: Analyzing and interpreting data in context
7,Middle School,Triangles and quadrilaterals,7:Middle School:Triangles and quadrilaterals: Classifying triangles and quadrilaterals,7:Middle School:Triangles and quadrilaterals: Understanding properties and relationships of shapes,7:Middle School:Triangles and quadrilaterals: Calculating measures of sides and angles,7:Middle School:Triangles and quadrilaterals: Solving problems involving triangles and quadrilaterals,7:Middle School:Triangles and quadrilaterals: Analyzing and interpreting data in context
7,Middle School,Probability,7:Middle School:Probability: Collecting and organizing data,7:Middle School:Probability: Representing data using graphs and charts,7:Middle School:Probability: Analyzing and interpreting data sets,7:Middle School:Probability: Determining probability and making predictions,7:Middle School:Probability: Analyzing and interpreting data in context
7,Middle School,Statistics,7:Middle School:Statistics: Organizing and summarizing data,7:Middle School:Statistics: Analyzing data distributions and measures,7:Middle School:Statistics: Making inferences and drawing conclusions from data,7:Middle School:Statistics: Interpreting and comparing data sets,7:Middle School:Statistics: Analyzing and interpreting data in context
8,Middle School,Linear equations,8:Middle School:Linear equations: Solving linear equations,8:Middle School:Linear equations: Writing and solving equations from word problems,8:Middle School:Linear equations: Solving equations with variables,8:Middle School:Linear equations: Applying equations in real-life situations,8:Middle School:Linear equations: Analyzing and interpreting data in context
8,Middle School,Linear systems,8:Middle School:Linear systems: Solving systems of linear equations,8:Middle School:Linear systems: Graphing systems of linear equations,8:Middle School:Linear systems: Solving real-world problems using linear systems,8:Middle School:Linear systems: Applying systems of equations in real-life situations,8:Middle School:Linear systems: Analyzing and interpreting data in context
8,Middle School,Exponents,8:Middle School:Exponents: Understanding exponents and their properties,8:Middle School:Exponents: Simplifying expressions with exponents,8:Middle School:Exponents: Evaluating and comparing exponential expressions,8:Middle School:Exponents: Applying exponents in real-life situations,8:Middle School:Exponents: Analyzing and interpreting data in context
8,Middle School,Scientific notation,8:Middle School:Scientific notation: Understanding scientific notation,8:Middle School:Scientific notation: Converting between standard and scientific notation,8:Middle School:Scientific notation: Performing operations with numbers in scientific notation,8:Middle School:Scientific notation: Applying scientific notation in real-life situations,8:Middle School:Scientific notation: Analyzing and interpreting data in context
8,Middle School,Functions and graphing,8:Middle School:Functions and graphing: Understanding functions and their notation,8:Middle School:Functions and graphing: Graphing linear functions and relations,8:Middle School:Functions and graphing: Evaluating and interpreting graphs of functions,8:Middle School:Functions and graphing: Analyzing patterns and behavior of functions,8:Middle School:Functions and graphing: Applying functions in real-life situations
8,Middle School,Pythagorean theorem,8:Middle School:Pythagorean theorem: Applying the Pythagorean theorem,8:Middle School:Pythagorean theorem: Using the Pythagorean theorem to solve problems,8:Middle School:Pythagorean theorem: Applying the converse of the Pythagorean theorem,8:Middle School:Pythagorean theorem: Exploring Pythagorean triples,8:Middle School:Pythagorean theorem: Analyzing and interpreting data in context
8,Middle School,Geometric concepts,8:Middle School:Geometric concepts: Understanding properties of shapes and figures,8:Middle School:Geometric concepts: Identifying and applying geometric formulas,8:Middle School:Geometric concepts: Using geometric theorems and postulates,8:Middle School:Geometric concepts: Exploring geometric constructions,8:Middle School:Geometric concepts: Analyzing and interpreting data in context
8,Middle School,Data analysis and probability,8:Middle School:Data analysis and probability: Organizing and representing data,8:Middle School:Data analysis and probability: Interpreting and analyzing data sets,8:Middle School:Data analysis and probability: Determining probability and making predictions,8:Middle School:Data analysis and probability: Solving problems involving data analysis,8:Middle School:Data analysis and probability: Analyzing and interpreting data in context
8,Middle School,Introduction to quadratic equations,8:Middle School:Introduction to quadratic equations: Understanding quadratic equations,8:Middle School:Introduction to quadratic equations: Solving quadratic equations,8:Middle School:Introduction to quadratic equations: Factoring quadratic expressions,8:Middle School:Introduction to quadratic equations: Graphing quadratic equations,8:Middle School:Introduction to quadratic equations: Applying quadratic equations in real-life situations
8,Middle School,Introduction to radicals,8:Middle School:Introduction to radicals: Understanding square roots and radicals,8:Middle School:Introduction to radicals: Simplifying radical expressions,"8:Middle School:Introduction to radicals: Adding, subtracting, and multiplying radicals",8:Middle School:Introduction to radicals: Rationalizing denominators,8:Middle School:Introduction to radicals: Applying radical operations in real-life situations
9,High School,Linear equations,9:High School:Linear equations: Solving linear equations,9:High School:Linear equations: Writing and solving equations from word problems,9:High School:Linear equations: Solving equations with variables,9:High School:Linear equations: Applying equations in real-life situations,9:High School:Linear equations: Analyzing and interpreting data in context
9,High School,Linear systems,9:High School:Linear systems: Solving systems of linear equations,9:High School:Linear systems: Graphing systems of linear equations,9:High School:Linear systems: Solving real-world problems using linear systems,9:High School:Linear systems: Applying systems of equations in real-life situations,9:High School:Linear systems: Analyzing and interpreting data in context
